formance as the whimpering alcoholic. What a stunning movie! This film proves what I've been thinking for ages - Sirk is the master of classic melodrama. Where's his Oscar?<br /><br />",positive
"The Italian Job is a real blast to watch. It's a genuinely entertaining film, something you watch just for the sheer enjoyment of it. It's not heavy with drama or emotional hand-wringing, it has no cosmic statements about life, and it's not violent or profane. It's just a fun movie. Between watching the little Mini Coopers fly around the crowded streets of L.A. and the great bits by stereotypical computer geek-turned-crook (played gleefully by Seth Greene), I had a lot of fun watching this film.<br /><br />Special kudos to the background music. They truly set a masterful tone for such a movie, so subtle yet keeps you on the edge when needed. Apparently a lot of artists contributed to the music, I found it to be the classiest part of the film.<br /><br />8 out of 10. Not awe-inspiring but a great film to watch at the end of a lousy day at the office.<br /><br />Barky",positive
"Of those comments here before mine, I mostly agree with Edyarb's. The story and the script apparently had potential to be funny, but though managing at some points, in other places it failed. You could see them wanting to make a joke, but no one in the audience laughed. (Also agree with Edyarb's view on the end credits: leave it normal or make it cool, but not what they've done now.) <br /><br />OK, that gives a more negative feeling than what I actually had watching the movie. I enjoyed it; it was pleasant entertainment for a night and definitely didn't feel like a waste of money to get the ticket. The best jokes are the ones that go a little bit outside of the expected and are fairly mature, like Luke Wilson's character Matt asking the super chick ""P*nis or bed?"" when she told him she'd ""get him a new one"" after a wild night in bed, ending up breaking the bed and leaving Matt sore.<br /><br />I cannot, however, agree with bgs1614,who says that the film could earn an 'R' rating - there was absolutely nothing in the film to justify that. Some sexual acts yes, but nothing explicit, only humorous, and no nudity whatsoever. (Maybe he was at a prescreening that showed more...?) I'd like to compare this to two recent films I went to see with no expectations whatsoever: Superman Returns and Click. I didn't really expect anything from either one - I was a big fan of the original Superman films and the trailer for Click only showed it as a potentially chauvinistic (which I wouldn't oppose) film. Superman surprised me with actually having me feel good(goosebumps!) about seeing his first heroic deed, like seeing a long lost friend and feeling happy about it. But for the rest of the story I'd rather watch My Super Ex-girlfriend, at least it offers some surprises. Click again was a TOTAL surprise, much better and deeper than the trailer and about five minutes away from being a really excellent movie. The jokes also work much better than in Ex-girlfriend, both the naughty ones and the more advanced ones.<br /><br />Anyway, the only reason I compared these three films is that they are the three last ones I've seen, within a very short period, and also because I went to all of these with basically no expectations at all. I'd rank them Click, Girlfriend, Superman.",positive
"I'm a pretty old dude, old enough to remember the taste of Oreos and Coke as they were 50-55 years ago, when every taste for a kid was fresh. I wish I have somehow set some aside then is some magical suspended locker, so that I could taste those things today. This magical locker might even have adjusted the fabric of the food to account for how I've drifted, physically and otherwise, a sort of dynamic chemistry of expectations. Over the half century, they would have had to adjust quite a bit, because you see I would have known that I set them aside. Eating one now would be a celebration of self and past, and story, and sense that would almost make the intervening years an anticipated reward.<br /><br />I didn't have enough sense to do that with original Coke. And I couldn't have invented one of those magical psychic lockers  not then. But I did something almost as good. In the seventies, I really tuned into Roman Polanski. He was a strange and exotic pleasure  you know, movies smuggled out of the Soviet block. Movies so sensitive to beauty that you cry for weeks afterward. Movies that make you want to live with Polish women, one, and then deciding that they would be the last to get it.<br /><br />Here's what I did. I took what I knew would be my favorite Polanski movie and set it aside. I did not watch it. I deferred until I thought I would be big enough to deserve it. Over the years, I would test myself, my ability to surround beauty and delineate it without occupying it. There probably are few Poles who have worked at this, practicing to deserve Chopin. Working to deserve womanness when I see it. Trying to get the inners from the edges.<br /><br />Recently, I achieved something like assurance that it was time to pull this out. I already knew that I was already past the time when this would work optimally, because I had already seen and understood ""9th Gate.""<br /><br />If you do not know this, it is about a man who innocently rents a room in which the previous tenant (about whom the story is named) jumped out the window, to die later after this man (played by Polanski) visits. What happens is that time folds and he becomes this woman. We are fooled into believing that he is merely mad. But the way we follow him, he is not. He merely has flashes that the world is normal, and that the surrounding people are not part of a coven warping his reality.<br /><br />The story hardly matters. What matters is how Polanksi shapes this thing, both in the way he inhabits the eye that only makes edges and in inhabiting the body that only consists of confused flesh. The two never meet. There is a dissonance that may haunt me for the next 30 years. Its the idea about and inside and an outside with no edges at all  at all except a redhead wig.<br /><br />I know of no one else that could do this, this sketch that remains a sketch, this horror that remains natural.<br /><br />To understand the genius of this, you have to know one of the greatest films ever made; ""Rear Window."" The genius of that film is the post-noir notion that the camera shapes the world; that the viewer creates the story. What Roman does is take this movie and turn it inside out. In Rear Window, the idea was that the on-screen viewer (Jimmy Stewart) was the anchor and everything else was fiction, woven as we watched. Here, the on screen apartment dweller is the filmmaker. We know this. We know that everything we see is true because he is the narrator. We know it is true that bodies shift identity, that times shift, that causality is plastic. We know that the narrator will kill us. We know that the narrator will leave us in a perpetual horror, on that edge that he imputes but never shows us and lets us imagine. <br /><br />Ted's Evaluation -- 4 of 3: Every cineliterate person should experience this.",positive
the only reason i bought this DVD is because cynthia rothrock is in it.now everybody knows she is the queen of martial arts b movies.the trouble is this is not a martial arts movie.cynthia rothrock has about a minute or so of fight scenes in this stupid movie.now if you were a film maker and you had cynthia rothrock in your movie would'nt you want to have a lot of martial arts action? all she does in this movie is walk around looking bored just like i was when i watched this pile of crap.i own a lot of her movies and they are all b movies but at least they had some cool fight scenes in them.if you are a martial arts fan avoid this no matter what.i'm still mad i wasted 4 dollars to buy this DVD,negative
"Where do they get the money to make films like this? I mean, there's nothing redeeming about this film. None of the actors are known, the writing is terrible, the photography is blurry, the story wanders between being a bad version of Repo Man and a nicklodeon western and the acting is unbelievable. For someone who watches all kinds of film, good and bad, I must admit that this film is about the worst I've seen since Attack of the Eye People back in the 50's. I don't really like to trash the effort of people trying to create some entertainment or, heaven forbid, art but this film would seem to appeal to no one. The story bends on a mystical contamination of a person who's a bad version of the Celtic Soul eater, although he functions more like a male succubus without the sexual overtones. The bad guys have to team up with the good guys in a town where they are unable to escape from. Take it from there as that, alas, is the best part. My advice is that unless you are into bad mythology, amateurish writing, unconvincing acting and tedious settings, you will best be served by leaving this one on the shelf when you're out renting videos.",negative
"eXistenZ combines director David Cronenberg's traditional love of blood and gore and exploding heads with the more confusing aspects of a reality twisting David Lynch film. And it actually works effectively. I won't bother trying to give even the bare bones of a plot synopsis here because it'll only cause more confusion. All you need to know is that the film is about a virtual reality computer game that is so incredibly lifelike that it becomes difficult to tell the difference between reality and virtual reality. The film almost seems to abandon its technology fearing point at the end, but then it throws in the final twist in the very last line of dialogue.<br /><br />There's also some very gross sexual imagery based around the 'bio-ports' in the protagonists backs, as well as some very gross acting from Jude Law. He manages to come off as naive and stupid and boring and any other annoying habit you can care to think of. Jason Jennifer Leigh comes off much better, and everyone else can be called a supporting character, including Willem Dafoe in a functional, if unspectacular, role as a money-crazed mechanic. Overall, eXistenZ is a very effective sci-fi film about the possibilities technology can present and the possible consequences it will receive.",positive
"I don't think I really have any spoilers in here but since I do describe a couple of funny scenes, I'll check the box saying 'might contain spoilers' just to be on the safe side. Now...<br /><br />I hardly know where to start. By now you know the basic outline of the story - horse traders Travis (Ben Johnson) and Sandy (Harry Carey Jr.) take the job of guiding a Mormon wagon train West to their 'promised land' and along the way encounter a variety of trials and interesting characters, most notably the outlaw Clegg family.<br /><br />Anyone can enjoy this movie. You don't have to be a fan of Westerns to like this one. For one thing, Johnson and Carey are two of the most quickly likable characters you'll see in any movie. Carey in particular is animated and outgoing, almost like a big kid - while Johnson is a little calmer and wiser, kind of like an older-brother figure. I get a kick out of the scene where they sell the sheriff one of their 'gentle horses' for ten dollars; then inform him that the horse has ""some peculiarities - you might say failings""... Travis elbows Sandy who lets loose with a shrill whistle, sending the sheriff's new horse off on a wild bucking fit with him in the saddle. The look on his face as the horse finally dumps him and gallops away is priceless.<br /><br />Pay attention to the music... even if you never thought you'd be a fan of the Sons of the Pioneers, listen to ""Shadows in the Dust"" as the wagon train is shown in motion with some of the people walking along between the wagons. It's a truly beautiful song- too bad only half a minute or so of it is in the movie. I want to hear the whole thing sometime.<br /><br />One thing that impressed me greatly about this movie is that much of it must have been almost as hard to make as the real situation it portrays. Teams of six horses pulling wagons up steep mountain trails, straining to make the top - this was no simple and easy film. It must have been risky for the actors, the stunt people and the animals as well. Fording rivers too, this movie has plenty of authentic-looking action involving the movement of the wagon train. It should be mentioned that both Harry Carey Jr. and Ben Johnson were extremely competent riders, both with many years' experience riding, roping, and doing all manner of cowboy-type things. Carey grew up on a ranch where his family employed many Navaho Indians and in fact he learned to speak Navaho before he learned to speak English. No rhinestone cowboys in this movie - ""Travis"" and ""Sandy"" were the real thing through and through.<br /><br />Watch for the scene when Miss Denver throws out the pan of water from her wagon, hitting Travis's horse in the face... the horse starts bucking, eventually throwing him off it. Watch the look on Sandy's face when Denver tells Travis 'I'm sorry you fell off your horse.' Another favorite scene of mine is when Harry Carey Jr. (Sandy) gets into a bit of a tiff with one of the Mormons. They're working back to back getting their gear ready, and after Sandy gets disgusted with the other fellow, the two of them get into a rear-end bumping match that quickly turns into a rolling-around-on-the-ground fist fight. Even after the Elder (Ward Bond) stands them up and separates them, the two combatants continue trying to get at each other. The Mormon (named 'Jackson' in the film) gets one final kick in at Sandy so high it hits his shoulder. It's a really funny scene from start to finish. <br /><br />I don't know what else I can say about this movie other than that it has a good story, very engaging characters, beautiful scenery and plenty of action balanced with humor and a bit of drama. Oh, it has been colorized, at least in the version I saw; not the most beautiful color film you'll ever see but I think I prefer it to black and white. I give this one a ten and I don't give out many 10's. One of my favorite movies, without a doubt. And, judging by the other comments, I have plenty of company in that assessment.",positive
"not to long after Jeff Jarrett left the WWF for good he spoke of that night . Owen Hart and him where good friends and both 2nd generation wrestlers. Jeff first remarks ""I was literally pushed thru the curtain as my lifeless friends body was wheeled past me "" . Debra McMichael( Steve Austin's Ex wife as well as Steve Mondo McMichael Ex wife"".) <br /><br />As Owen Hart Fell, a video promo the ring was darkened, as a Blue Blazer (owen Hart Promo was played. The fall and video of owen in the ring was never showed on TV. There are a few news photos that got posted. When they came back from the video promo Jim ross was talking over a all we had was a crowd shot \., He stated that Owen Hart as The blue blazer has fallen and doesn't look good. Lawler then came back from the ring his face was ashen he told Jim that the situation was very critical paramedics where working hard to revive him. Rock And HHH where going there match in a private room when another Referee came in and told them Owen fell at first,knowing Owen Harts constantly being a prankster they thought it wasn't real. But both later stated that the look of the referee face said it all. In fact as he fell ,as mentioned in other post , he yelled for the referee and ring announcer to move. <br /><br />Brother Bret hart was a plane heading to LA to do a angle on the Tonight Show , he couldn't get any of the plane phones to work, One of the captains got a message to call home something had happened. When he landed in La Eric bishoff was there told him what had happened, and put him on a charter flight to Kansas City to the morgue, Bret even later with Owens widow Martha went up to the top of the arena where Owen was standing. Police found no foul play formerly closed as a accident .<br /><br />Most of the Information in Bret Harts book as well as the book by Martha Hart ,",negative
"This is an excellent film. The aerial scenes were well-done. It was also the right balance of war and love. The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.""",positive
